Date,BHARTIARTL.NS,HDFCBANK.NS,HINDUNILVR.NS,ICICIBANK.NS,INFY.NS,ITC.NS,M&M.NS,RELIANCE.NS,SUNPHARMA.NS,TCS.NS,^NSEI
2021-07-16,519.1512451171875,712.3056640625,2216.593017578125,638.6339721679688,1354.754150390625,163.69842529296875,744.481689453125,956.7438354492188,653.6965942382812,2775.31787109375,15923.400390625
2021-07-19,516.56103515625,688.2789916992188,2208.56982421875,634.3783569335938,1342.7784423828125,163.58033752441406,740.662841796875,950.6520385742188,654.313720703125,2766.45703125,15752.400390625
2021-07-20,504.3772888183594,675.248046875,2232.639404296875,620.8377685546875,1350.0509033203125,162.83229064941406,725.7694702148438,948.3195190429688,642.1624755859375,2784.87353515625,15632.099609375
2021-07-22,524.4756469726562,677.8447875976562,2180.603515625,634.4266967773438,1385.0203857421875,162.98976135253906,724.0986328125,960.5030517578125,652.4625244140625,2794.03857421875,15824.0498046875
2021-07-23,526.0105590820312,675.0609130859375,2162.219482421875,654.447509765625,1385.2381591796875,167.2416534423828,729.5883178710938,953.7092895507812,658.8229370117188,2790.998046875,15856.0498046875
2021-07-26,521.933349609375,671.22412109375,2153.60009765625,654.5441284179688,1396.952880859375,166.2574462890625,720.1366577148438,940.6426391601562,667.7465209960938,2777.70703125,15824.4501953125
2021-07-27,518.5756225585938,673.6572265625,2147.822998046875,655.2212524414062,1395.7769775390625,164.28895568847656,711.7828979492188,930.7462768554688,653.411865234375,2765.023681640625,15746.4501953125
2021-07-28,544.8137817382812,663.15283203125,2165.24462890625,662.5718383789062,1398.43359375,164.64328002929688,695.696044921875,922.7523193359375,652.9371948242188,2777.924072265625,15709.400390625
2021-07-29,544.0942993164062,663.5973510742188,2140.808349609375,666.888427734375,1408.362548828125,162.24176025390625,698.321533203125,929.9536743164062,667.3665771484375,2776.186767578125,15778.4501953125
2021-07-30,538.81787109375,667.43408203125,2139.479248046875,662.038330078125,1402.7012939453125,161.37559509277344,709.4439086914062,921.8239135742188,734.7203979492188,2751.558837890625,15763.0498046875
2021-08-02,542.1755981445312,665.6561279296875,2139.020751953125,660.9712524414062,1421.035400390625,163.22598266601562,723.3826904296875,938.6724243164062,735.71728515625,2796.6884765625,15885.150390625
2021-08-03,556.61376953125,671.2942504882812,2188.5810546875,669.7015380859375,1441.6337890625,165.27320861816406,735.93701171875,945.579345703125,754.5135498046875,2853.587646484375,16130.75
2021-08-04,551.0494995117188,685.6119995117188,2179.64111328125,693.2244873046875,1436.4515380859375,164.24957275390625,731.5454711914062,952.8261108398438,745.9224853515625,2844.074951171875,16258.7998046875
2021-08-05,574.3616943359375,694.7593383789062,2161.852294921875,681.3902587890625,1440.196533203125,169.48573303222656,724.9579467773438,966.6400756835938,746.3021240234375,2852.762451171875,16294.599609375
2021-08-06,583.187744140625,698.4091186523438,2174.505859375,676.7341918945312,1437.2786865234375,168.6983642578125,723.90771484375,946.168212890625,745.4002075195312,2875.218017578125,16238.2001953125
2021-08-09,574.8892822265625,703.6729125976562,2186.426025390625,681.7781982421875,1448.6884765625,168.34402465820312,739.8513793945312,940.7783813476562,748.8178100585938,2886.42431640625,16258.25
2021-08-10,596.9063720703125,705.4276123046875,2183.9501953125,679.88671875,1460.838623046875,165.23382568359375,750.687255859375,945.7152099609375,753.1371459960938,2896.15380859375,16280.099609375
2021-08-11,595.6112670898438,699.485107421875,2191.88134765625,672.757080078125,1461.0999755859375,164.28895568847656,743.4315795898438,958.9630737304688,740.0364379882812,2905.101806640625,16282.25
2021-08-12,597.8178100585938,702.5031127929688,2193.578125,680.3231811523438,1471.5953369140625,164.48583984375,741.0447998046875,955.8832397460938,739.1822509765625,2911.65966796875,16364.400390625
2021-08-13,611.1526489257812,714.1070556640625,2204.764404296875,683.6697387695312,1491.279052734375,166.49365234375,743.3838500976562,971.8032836914062,738.849853515625,3008.650390625,16529.099609375
2021-08-16,608.274658203125,716.1658325195312,2224.84521484375,681.5842895507812,1484.485595703125,166.0605926513672,763.0985107421875,984.4169921875,741.2232055664062,3016.946533203125,16563.05078125
2021-08-17,600.8876953125,708.7027587890625,2277.4775390625,680.177734375,1516.9293212890625,164.72203063964844,754.84033203125,980.2276000976562,744.4035034179688,3086.529541015625,16614.599609375
2021-08-18,597.6259155273438,707.9307861328125,2279.540771484375,667.6643676757812,1509.7872314453125,164.5251922607422,755.5086059570312,984.0321655273438,743.2168579101562,3093.0439453125,16568.849609375
2021-08-20,588.751953125,708.74951171875,2401.81396484375,660.2922973632812,1509.351806640625,164.48583984375,750.0667724609375,972.9808959960938,722.5692138671875,3092.13232421875,16450.5
2021-08-23,597.3380737304688,713.3583984375,2415.338134765625,662.2323608398438,1514.4033203125,162.4385986328125,731.2112426757812,979.3670043945312,722.7595825195312,3159.80419921875,16496.44921875
2021-08-24,594.8917236328125,729.3839111328125,2414.28369140625,673.630126953125,1498.8128662109375,162.0055389404297,742.9064331054688,989.036865234375,734.1813354492188,3138.78125,16624.599609375
2021-08-25,587.552734375,728.7054443359375,2425.286865234375,670.33203125,1511.6162109375,162.51731872558594,737.0827026367188,997.5970458984375,731.9920654296875,3178.56787109375,16634.650390625
2021-08-26,563.0414428710938,727.4888916015625,2444.908935546875,677.8496704101562,1504.779052734375,161.1000518798828,746.0092163085938,1010.210693359375,723.90185546875,3189.73095703125,16636.900390625
2021-08-27,570.9560546875,724.5177612304688,2455.499755859375,678.7711791992188,1488.31787109375,162.12364196777344,740.0423583984375,1008.829345703125,734.609619140625,3231.688232421875,16705.19921875
2021-08-30,595.2276000976562,733.7821655273438,2464.440185546875,692.2545166015625,1478.9549560546875,163.7771759033203,755.6995849609375,1028.23681640625,749.2677001953125,3215.31396484375,16931.05078125
2021-08-31,637.0550537109375,739.93505859375,2497.816162109375,697.4925537109375,1486.27099609375,166.37554931640625,757.3703002929688,1022.7567138671875,755.78759765625,3289.28369140625,17132.19921875
2021-09-01,639.3095703125,738.8588256835938,2505.88525390625,698.317138671875,1461.27392578125,164.958251953125,735.0300903320312,1026.8101806640625,750.5050048828125,3227.171630859375,17076.25
2021-09-02,639.4055786132812,743.4911499023438,2568.37451171875,703.40966796875,1471.1595458984375,165.15509033203125,718.3704223632812,1039.1748046875,751.8851928710938,3332.979248046875,17234.150390625
2021-09-03,631.6828002929688,737.431884765625,2536.877685546875,702.5851440429688,1481.2193603515625,165.82437133789062,715.9359741210938,1081.7943115234375,751.3617553710938,3337.583251953125,17323.599609375
2021-09-06,627.9892578125,732.5889892578125,2549.623291015625,699.5296020507812,1507.130859375,164.80078125,720.5662841796875,1098.5977783203125,746.459716796875,3346.2265625,17377.80078125
2021-09-07,643.2908325195312,734.2500610351562,2546.96337890625,695.4070434570312,1486.4451904296875,166.7298583984375,718.990966796875,1105.52734375,732.8013305664062,3314.8671875,17362.099609375
2021-09-08,640.7006225585938,737.5955200195312,2568.236572265625,699.3355102539062,1474.7740478515625,166.336181640625,720.5662841796875,1101.201904296875,739.9874267578125,3278.598876953125,17353.5
2021-09-09,658.2567138671875,733.9459228515625,2577.1767578125,698.6566162109375,1473.337158203125,167.4385528564453,716.7474365234375,1098.5977783203125,738.892822265625,3293.583740234375,17369.25
2021-09-13,665.1160888671875,727.83984375,2554.8955078125,686.19189453125,1473.5985107421875,168.61959838867188,711.7828979492188,1074.11767578125,742.7000732421875,3340.4501953125,17355.30078125
2021-09-14,665.9794311523438,724.5646362304688,2533.07275390625,686.2403564453125,1468.5904541015625,170.15499877929688,716.2223510742188,1072.713623046875,743.7471923828125,3375.67529296875,17380.0
2021-09-15,696.007080078125,723.7457885742188,2544.90087890625,692.9334716796875,1490.6258544921875,170.07627868652344,720.900390625,1077.1748046875,743.0332641601562,3435.311767578125,17519.44921875
2021-09-16,689.3875122070312,729.8985595703125,2538.299560546875,705.398193359375,1482.61279296875,181.69027709960938,722.6666259765625,1099.775146484375,743.4140625,3390.790771484375,17629.5
2021-09-17,698.54931640625,740.2860107421875,2496.119873046875,698.5595703125,1473.0758056640625,182.0052490234375,719.9934692382812,1082.722900390625,732.8013305664062,3325.248046875,17585.150390625
2021-09-20,695.4794311523438,729.851806640625,2567.732421875,688.7138671875,1470.0709228515625,184.05245971679688,704.62255859375,1084.444091796875,720.0469360351562,3321.468505859375,17396.900390625
2021-09-21,697.1102905273438,726.1554565429688,2578.8271484375,690.5083618164062,1496.7225341796875,190.15476989746094,705.0045776367188,1089.1317138671875,727.6615600585938,3355.73876953125,17562.0
2021-09-22,697.206298828125,717.6162719726562,2553.199462890625,682.2632446289062,1495.372802734375,191.72950744628906,718.418212890625,1100.8170166015625,732.9916381835938,3355.044189453125,17546.650390625
2021-09-23,697.2542114257812,734.60107421875,2551.181884765625,695.5040283203125,1517.7130126953125,190.94210815429688,724.0986328125,1127.7203369140625,732.7535400390625,3361.21142578125,17822.94921875
2021-09-24,709.342041015625,749.3631591796875,2518.4931640625,701.2756958007812,1536.2647705078125,187.75320434570312,744.1475219726562,1124.459228515625,733.32470703125,3362.9921875,17853.19921875
2021-09-27,706.19140625,760.3822631835938,2484.4287109375,708.1142578125,1499.07421875,187.95004272460938,774.6027221679688,1143.3685302734375,726.2813720703125,3333.15283203125,17855.099609375
2021-09-28,680.3890380859375,755.6797485351562,2497.587646484375,695.6495361328125,1469.417724609375,187.20204162597656,769.5428466796875,1154.057373046875,737.7506713867188,3282.941650390625,17748.599609375
2021-09-29,678.3854370117188,745.7603759765625,2462.239501953125,688.2288818359375,1473.9033203125,187.47760009765625,775.3187255859375,1144.90869140625,772.2064208984375,3294.017333984375,17711.30078125
2021-09-30,672.716796875,746.2750854492188,2477.368408203125,679.838134765625,1459.05322265625,185.94219970703125,766.6787719726562,1141.013427734375,778.8214111328125,3279.814697265625,17618.150390625
2021-10-01,660.5975341796875,740.5432739257812,2479.431640625,671.593017578125,1450.2999267578125,185.31228637695312,790.3554077148438,1143.0289306640625,786.76904296875,3240.4189453125,17532.05078125
2021-10-04,665.9730224609375,741.9703979492188,2463.064208984375,679.2076416015625,1462.1451416015625,186.29653930664062,803.0531005859375,1157.7261962890625,791.9088134765625,3277.85986328125,17691.25
2021-10-05,683.4188842773438,746.5089721679688,2483.64990234375,676.2005615234375,1474.3824462890625,184.8004913330078,804.8670043945312,1181.75341796875,780.9630126953125,3329.982177734375,17822.30078125
2021-10-06,675.7466430664062,755.6096801757812,2462.92724609375,668.8284912109375,1457.6160888671875,182.083984375,796.3223266601562,1159.4019775390625,762.02197265625,3310.523193359375,17646.0
2021-10-07,676.8217163085938,753.5509033203125,2447.66015625,681.147705078125,1472.814453125,183.42254638671875,838.4728393554688,1165.0860595703125,783.58056640625,3381.75634765625,17790.349609375
2021-10-08,679.7537841796875,749.8778686523438,2420.748291015625,682.311767578125,1501.4259033203125,182.4383087158203,838.0431518554688,1209.8570556640625,781.8197021484375,3418.893310546875,17895.19921875
2021-10-11,675.2090454101562,764.4529418945312,2425.378662109375,691.9149169921875,1472.770751953125,187.438232421875,855.0369262695312,1201.4327392578125,792.4323120117188,3201.675048828125,17945.94921875
2021-10-12,670.8109130859375,762.4877319335938,2453.849365234375,687.3557739257812,1467.7193603515625,189.99725341796875,849.7860107421875,1208.2943115234375,789.7197265625,3173.2255859375,17991.94921875
2021-10-13,674.2805786132812,767.0732421875,2426.8916015625,688.6653442382812,1488.666259765625,196.21763610839844,892.9865112304688,1220.591064453125,801.9505004882812,3175.266845703125,18161.75
2021-10-14,670.2733764648438,789.5323486328125,2429.458984375,705.4952392578125,1494.37109375,202.00494384765625,889.2156372070312,1223.0595703125,800.7608642578125,3143.281005859375,18338.55078125
2021-10-18,665.1911010742188,781.53125,2433.53955078125,723.10107421875,1560.913330078125,206.72930908203125,869.6917114257812,1226.3206787109375,795.6209716796875,3174.35302734375,18477.05078125
2021-10-19,665.6798095703125,790.1405639648438,2335.24365234375,725.0411376953125,1587.0426025390625,193.6586456298828,875.945068359375,1237.3038330078125,787.48291015625,3163.0380859375,18418.75
2021-10-20,692.41064453125,783.1923217773438,2272.7548828125,723.4891357421875,1569.7972412109375,194.17042541503906,858.6170654296875,1223.0595703125,775.6329956054688,3141.017822265625,18266.599609375
2021-10-21,680.291259765625,784.3386840820312,2242.587890625,732.8497314453125,1527.380859375,192.6743927001953,856.37353515625,1187.77734375,778.9642944335938,3074.5654296875,18178.099609375
2021-10-22,678.7764282226562,786.4207763671875,2250.24462890625,736.5357666015625,1497.898681640625,186.29653930664062,847.637939453125,1189.99658203125,773.3960571289062,3045.27783203125,18114.900390625
2021-10-25,675.453369140625,775.30810546875,2251.849365234375,816.4654541015625,1487.2291259765625,183.7769012451172,850.35888671875,1178.4017333984375,774.0147705078125,3040.14306640625,18125.400390625
2021-10-26,680.43798828125,773.319580078125,2248.158935546875,804.5341796875,1497.0263671875,186.37525939941406,854.0344848632812,1205.237060546875,774.3003540039062,3031.134033203125,18268.400390625
2021-10-27,686.4486694335938,768.6641235351562,2211.02587890625,809.96630859375,1519.21337890625,187.75320434570312,846.635498046875,1189.99658203125,785.3413696289062,3037.357666015625,18210.94921875
2021-10-28,674.1339721679688,745.6434326171875,2204.61376953125,774.7545776367188,1497.2022705078125,177.2415313720703,843.819091796875,1176.9525146484375,768.6845703125,2978.08544921875,17857.25
2021-10-29,669.8335571289062,740.613525390625,2207.842529296875,778.004150390625,1465.4376220703125,175.74549865722656,844.2009887695312,1148.713134765625,756.69189453125,2957.2841796875,17671.650390625
2021-11-01,696.368896484375,751.1177978515625,2220.71240234375,779.7987060546875,1493.8194580078125,178.6194610595703,830.9306030273438,1149.4150390625,772.68212890625,3025.73779296875,17929.650390625
2021-11-02,697.7861328125,751.7962646484375,2231.5986328125,776.9371337890625,1491.9300537109375,177.63522338867188,822.4814453125,1132.656982421875,776.1088256835938,3032.52685546875,17888.94921875
2021-11-03,683.2722778320312,739.9583740234375,2224.633544921875,762.3869018554688,1495.9720458984375,175.15496826171875,810.5475463867188,1124.866943359375,749.9815673828125,3039.53369140625,17829.19921875
2021-11-04,685.2269287109375,745.8071899414062,2235.242919921875,758.6522827148438,1501.4200439453125,178.3832550048828,833.3173217773438,1131.77392578125,757.1201782226562,3053.806884765625,17916.80078125
2021-11-08,692.9480590820312,748.7549438476562,2243.59228515625,756.7607421875,1526.7264404296875,180.94224548339844,820.5719604492188,1133.1781005859375,761.4508666992188,3048.671875,18068.55078125
2021-11-09,697.0530395507812,735.6537475585938,2242.89990234375,762.9688720703125,1531.1197509765625,180.11549377441406,851.7432250976562,1142.1231689453125,762.7359008789062,3051.239990234375,18044.25
2021-11-10,718.7993774414062,727.6995239257812,2214.30029296875,757.48828125,1529.054931640625,181.76902770996094,877.9977416992188,1154.8955078125,772.0159301757812,3032.61376953125,18017.19921875
2021-11-11,712.1043701171875,724.4475708007812,2192.204833984375,748.321533203125,1523.03564453125,181.0997314453125,882.86669921875,1157.00146484375,756.5490112304688,3036.008056640625,17873.599609375
2021-11-12,726.6671142578125,726.6467895507812,2218.72900390625,753.317138671875,1564.2464599609375,183.38316345214844,895.3256225585938,1174.4615478515625,767.6376342773438,3068.9521484375,18102.75
2021-11-15,720.8517456054688,728.63525390625,2236.996337890625,750.1160888671875,1570.3533935546875,187.47760009765625,886.3514404296875,1167.531982421875,771.63525390625,3092.668701171875,18109.44921875
2021-11-16,713.7659301757812,724.3073120117188,2220.297119140625,741.1433715820312,1574.8787841796875,185.39102172851562,916.8065795898438,1140.402099609375,759.9755249023438,3095.36669921875,17999.19921875
2021-11-17,703.7479248046875,716.2593383789062,2205.99755859375,738.4758911132812,1570.616943359375,188.57994079589844,911.2215576171875,1115.9898681640625,753.2176513671875,3065.339111328125,17898.650390625
2021-11-18,698.1770629882812,720.2832641601562,2213.6083984375,740.0279541015625,1563.5435791015625,187.0051727294922,881.8643188476562,1120.201904296875,752.5513916015625,3025.128662109375,17764.80078125
2021-11-22,725.2987670898438,709.0302124023438,2203.59912109375,729.4547119140625,1545.9696044921875,181.8083953857422,860.0491943359375,1070.5845947265625,733.6103515625,3010.071044921875,17416.55078125
2021-11-23,741.7184448242188,709.1240234375,2208.811279296875,729.3091430664062,1526.19921875,182.35955810546875,860.5264282226562,1080.59423828125,747.3640747070312,3015.1630859375,17503.349609375
2021-11-24,741.7184448242188,710.293701171875,2190.867431640625,737.4088134765625,1490.260498046875,179.2887420654297,852.7456665039062,1064.9912109375,741.4151000976562,2996.9287109375,17415.05078125
